brick,xp,yp,zp,xr,yr,zr,w
front1,0.613028226313,-0.0239848922303,0.200020127018,0.994473159313,-0.104197267266,5.2166060977e-05,0.0128863937736
back1,0.602961760655,-0.14833045381,0.190621861941,0.994468927383,-0.104253626002,0.000116945819938,0.0127566036996
left1,0.669045167266,-0.102593733982,0.244247920598,0.7780174613,0.628109470738,0.00914545443051,0.00915003640455
right1,0.548064812959,-0.0787853636518,0.238078139926,0.777987241745,0.628151176539,0.00899964819717,0.00899713565298
